Movie	Worldwide	India Net	India Gross	Overseas	Budget	Verdict
Vijaypath	110000000	60000000	80000000	20000000	20000000	SuperHit
Blank	80000000	60000000	70000000	10000000	300000000	Disaster
Chef	100000000	60000000	80000000	10000000	130000000	Disaster
Calendar Girls	80000000	60000000	80000000	0	120000000	Flop
Dilwale	120000000	60000000	80000000	30000000	20000000	SuperHit
Maharaja	100000000	60000000	90000000	0	50000000	Average
Tezaab	160000000	60000000	110000000	50000000	10000000	Blockbuster
Haqeeqat	100000000	60000000	100000000	0	40000000	Average
Damini â€“ Lightning	110000000	60000000	110000000	0	20000000	Hit
Phool Aur Kaante	110000000	60000000	110000000	0	20000000	SuperHit
Sadak	100000000	60000000	100000000	0	30000000	SuperHit
Yeh Dil Aashiqanaa	90000000	60000000	90000000	0	40000000	Average
Pyaar Impossible!	90000000	60000000	80000000	0	120000000	Flop
Top Gun: Maverick	1.225E+11	50000000	510000000	1.2199E+11	13000000000	Hit
Genius	70000000	50000000	70000000	0	300000000	Disaster
Sangharsh	100000000	50000000	70000000	20000000	40000000	Average
Jung	100000000	50000000	90000000	10000000	40000000	Above Average
Rudraksh	90000000	50000000	80000000	10000000	150000000	Disaster
Kuttey	80000000	50000000	60000000	10000000	500000000	Disaster
Khiladi 420	100000000	50000000	70000000	20000000	80000000	Flop
Do Lafzon Ki Kahani	70000000	50000000	70000000	0	110000000	Flop
Vaah! Life Ho Toh Aisi!	80000000	50000000	70000000	0	100000000	Flop
Hulchul	80000000	50000000	80000000	0	40000000	Below Average
Insaniyat	100000000	50000000	90000000	0	40000000	Below Average
Anari	100000000	50000000	100000000	0	20000000	Hit
Aarzoo	110000000	50000000	70000000	40000000	80000000	Flop
Noor	0	50000000	0	0	10000000	0
Stanley Ka Dabba	70000000	50000000	70000000	0	40000000	Below Average
Masoom	80000000	50000000	80000000	0	10000000	Hit
Yeh Dillagi	100000000	50000000	100000000	0	20000000	Hit
Aflatoon	90000000	50000000	70000000	20000000	40000000	Below Average
Bobby	290000000	50000000	100000000	190000000	10000000	Blockbuster
Mr. India	100000000	50000000	100000000	0	20000000	SuperHit
Mughal-e-Azam	100000000	50000000	100000000	0	0	All Time Blockbuster
Dil Ka Rishta	130000000	50000000	70000000	50000000	80000000	Flop
Rehnaa Hai Terre Dil Mein	100000000	50000000	80000000	10000000	50000000	Below Average
Bewafa Sanam	70000000	50000000	70000000	0	10000000	SuperHit
Yeh Hai Jalwa	90000000	50000000	70000000	10000000	70000000	Flop
Sirf Tum	100000000	50000000	90000000	10000000	20000000	Hit
Khichdi: The Movie	70000000	50000000	70000000	0	40000000	Average
Bangistan	80000000	50000000	70000000	10000000	250000000	Disaster
Style	70000000	50000000	70000000	0	20000000	Above Average
Aunty No. 1	90000000	50000000	90000000	0	40000000	Below Average
Hum Hain Rahi Pyar Ke	90000000	50000000	80000000	10000000	20000000	SuperHit
Roti Kapda Aur Makaan	100000000	50000000	100000000	0	10000000	Blockbuster
Lahu Ke Do Rang	90000000	50000000	60000000	20000000	50000000	Flop
Andaz Apna Apna	70000000	50000000	70000000	0	30000000	Average
Kyaa Dil Ne Kahaa	80000000	50000000	70000000	10000000	60000000	Below Average
Ravan Raaj: A True Story	70000000	50000000	70000000	0	20000000	Hit
Baazi	70000000	40000000	70000000	0	30000000	Below Average
Notebook	60000000	40000000	60000000	0	200000000	Flop
Indu Sarkar	60000000	40000000	60000000	0	10000000	0
Game Over	160000000	40000000	140000000	10000000	200000000	Below Average
Nil Battey Sannata	60000000	40000000	60000000	0	70000000	Flop
The Zoya Factor	80000000	40000000	60000000	10000000	300000000	Disaster
Dobaaraa	10000000	40000000	50000000	0	10000000	0
Dasara	1180000000	40000000	960000000	220000000	650000000	SuperHit
Zamana Deewana	70000000	40000000	60000000	0	40000000	Flop
Elaan	80000000	40000000	80000000	0	10000000	Hit
Tutak Tutak Tutiya	60000000	40000000	60000000	0	110000000	Flop
Helicopter Eela	70000000	40000000	50000000	10000000	150000000	Flop
Bol Radha Bol	80000000	40000000	80000000	0	20000000	Hit
Tum Bin 2	60000000	40000000	60000000	0	150000000	Flop
Khuddar	70000000	40000000	70000000	0	10000000	Above Average
Tum Bin - Love Will Find a Way	70000000	40000000	60000000	0	20000000	Average
Taarzan: The Wonder Car	60000000	40000000	50000000	0	140000000	Disaster
Junooniyat	50000000	40000000	50000000	0	110000000	Disaster
Shazam! Fury Of The Gods	11000000000	40000000	190000000	6200000000	9000000000	0
Khiladi	70000000	40000000	60000000	10000000	20000000	SuperHit
Mother India	90000000	40000000	80000000	0	10000000	All Time Blockbuster
Sanam Bewafa	80000000	40000000	80000000	0	20000000	Hit
Chandni Bar	60000000	40000000	60000000	0	10000000	Hit
Maidan-E-Jung	60000000	40000000	60000000	0	30000000	Below Average
Dil Hai Ke Manta Nahin	70000000	40000000	60000000	10000000	10000000	Hit
Dhaakad	0	40000000	40000000	0	10000000	Disaster
Kabzaa	340000000	40000000	320000000	10000000	10000000	0
Nanu Ki Jaanu	0	40000000	0	0	150000000	Flop
Jo Jeeta Wohi Sikander	60000000	30000000	50000000	10000000	20000000	Hit
No Time To Die	11000000000	30000000	190000000	11000000000	18500000000	0
Sangam	80000000	30000000	70000000	10000000	0	Blockbuster
Zamane Se Kya Darna	60000000	30000000	60000000	0	20000000	Average
Kaanchi...	50000000	30000000	50000000	0	200000000	Disaster
Janhit Mein Jaari	50000000	30000000	40000000	10000000	10000000	0
Kabhi Haan Kabhi Naa	50000000	30000000	50000000	0	10000000	Above Average
Traffic	50000000	30000000	50000000	0	90000000	Flop
Darbar	2470000000	30000000	1730000000	740000000	2000000000	Below Average
Insaaf	60000000	30000000	50000000	10000000	30000000	Flop
Jayantabhai Ki Luv Story	50000000	30000000	50000000	0	130000000	Disaster
Mitron	50000000	30000000	40000000	0	150000000	Flop
Don	70000000	30000000	70000000	0	10000000	SuperHit
Fareb	60000000	30000000	60000000	0	10000000	Hit
Masaan	40000000	30000000	40000000	0	70000000	Disaster
Gunga Jumna	100000000	30000000	60000000	40000000	0	All Time Blockbuster
Haathi Mere Saathi	60000000	30000000	60000000	0	10000000	Blockbuster
Suraj Pe Mangal Bhari	40000000	30000000	30000000	0	250000000	0
Aashiqui	50000000	30000000	40000000	0	10000000	Blockbuster
Dhokha: Round D Corner	40000000	30000000	30000000	0	200000000	0
Jalebi	40000000	30000000	40000000	0	10000000	Flop
Disco Dancer	1000000000	30000000	60000000	940000000	20000000	Hit
Seeta Aur Geeta	160000000	30000000	60000000	100000000	10000000	Blockbuster
Chehre	40000000	30000000	30000000	0	10000000	0
Laal Kaptaan	40000000	30000000	30000000	0	400000000	Disaster
Udaan	40000000	30000000	40000000	0	40000000	Flop
Kuch Kuch Locha Hai	40000000	30000000	40000000	0	130000000	Disaster
Kaafila	40000000	30000000	30000000	0	150000000	Disaster
Buddha Mar Gaya	50000000	30000000	40000000	10000000	40000000	Flop
One Night Stand	40000000	30000000	40000000	0	150000000	Disaster
Zaalim	50000000	30000000	50000000	0	10000000	Average
Chori Chori	50000000	30000000	40000000	10000000	60000000	Flop
Pihu	30000000	30000000	30000000	0	20000000	Above Average
Zanjeer	60000000	30000000	60000000	0	10000000	Blockbuster
Waqt	60000000	20000000	50000000	0	10000000	Blockbuster
The Batman	19000000000	20000000	430000000	9000000000	10000000	Average
Hum Hain Bemisaal	40000000	20000000	40000000	0	20000000	Flop
Mere Mehboob	50000000	20000000	50000000	0	0	Blockbuster
Angaaray	50000000	20000000	30000000	10000000	30000000	Flop
Qayamat Se Qayamat Tak	50000000	20000000	40000000	10000000	10000000	SuperHit
Waiting	30000000	20000000	30000000	0	70000000	Disaster
Mili	30000000	20000000	30000000	0	100000000	0
Malaal	30000000	20000000	30000000	0	100000000	Disaster
Laila Majnu	30000000	20000000	30000000	0	100000000	Flop
Manto	30000000	20000000	30000000	0	100000000	Disaster
Phool Aur Paththar	140000000	20000000	50000000	90000000	0	Blockbuster
The Body	30000000	20000000	30000000	0	300000000	Disaster
Master	2230000000	20000000	1780000000	440000000	1350000000	Blockbuster
Aggar	90000000	20000000	80000000	10000000	10000000	0
Jai Kishen	40000000	20000000	40000000	0	20000000	Average
Phobia	30000000	20000000	30000000	0	80000000	Disaster
Mard Ko Dard Nahi Hota	30000000	20000000	30000000	0	210000000	Disaster
Aligarh	30000000	20000000	30000000	0	110000000	Disaster
Bhangra Paa Le	20000000	20000000	20000000	0	80000000	0
Fantastic Beasts: The Secrets of Dumbledore	0	20000000	110000000	0	10000000	Average
Salaam Venky	30000000	20000000	20000000	0	150000000	0
Uncharted	11000000000	20000000	100000000	6700000000	9000000000	Flop
Pailwaan	520000000	20000000	480000000	40000000	400000000	Average
Gandhi Godse Ek Yudh	0	20000000	0	0	10000000	0
Mere Jeevan Saathi	30000000	20000000	30000000	0	110000000	Disaster
Shabaash Mithu	10000000	20000000	20000000	0	10000000	0
Bheed	20000000	20000000	20000000	0	10000000	0
Jai Mummy Di	30000000	20000000	20000000	0	200000000	0
Love Sonia	30000000	20000000	30000000	0	150000000	Flop
Nikamma	0	20000000	20000000	0	10000000	0
Saugandh	30000000	20000000	30000000	0	20000000	Average
Akaash Vani	30000000	20000000	20000000	0	100000000	Disaster
Zwigato	10000000	20000000	10000000	0	10000000	0
FryDay	20000000	20000000	20000000	0	150000000	Disaster
